"Tipo de producto","Marca","Nombre de Fantasía","Denominación de venta","RNPA"
"Aceites","No registra","No registra","Aceite de girasol con alto contenido de ácido oleico - libre de gluten","02-593528"
"Aceites","Noble Lur","No registra","Aceite de oliva virgen extra - Libre de gluten","13042731"
"Aceites","Noble Lur","No registra","Aceite de oliva virgen extra - Libre de gluten","13042732"
"Aceites","Noble Lur","No registra","Aceite de oliva virgen extra - Libre de gluten","13042733"
"Aceites","Olibo","Le Pain Quotidien","Aceite de oliva virgen extra orgánico - Libre de gluten","13041913"
"Aceites","Olibo","No registra","Aceite de oliva virgen extra orgánico - Libre de gluten","13041903"
"Aceites","Oliovita","Aceite de oliva virgen extra variedad botánica changlot","Aceite de oliva virgen extra libre de gluten","18008222"
"Aceites","Oliovita","Arbequina","Aceite de oliva virgen calidad extra, libre de gluten","18004366"
"Aceites","Oliovita","Clásico","Aceite de oliva virgen extra libre de gluten","18006596"
"Aceites","Oliovita","Frantoio","Aceite de oliva virgen extra libre de gluten","18004137"
"Aceites","Oliovita","Oliovita edición limitada","Aceite de oliva virgen extra libre de gluten","18007684"
"Aceites","Oliovita","Oliovita mediterráneo","Aceite de oliva virgen extra libre de gluten","18008329"
"Aceites","Oliovita","Orgánico","Aceite de oliva virgen extra libre de gluten","18006117"
"Aceites","Oroliva","No registra","Aceite de oliva virgen calidad extra - Libre de gluten","13034465"
"Aceites","Petite Fleur","Sutil blend","Aceite de oliva virgen extra - Libre de gluten","13043078"
"Aceites","Piuque","No registra","Aceite de oliva virgen extra - Libre de gluten","13039646"
"Aceites","Piuque","No registra","Aceite de oliva virgen extra - Libre de gluten","13042058"
"Aceites","Piuque","No registra","Aceite de oliva virgen extra - Libre de gluten","13042070"
"Aceites","Piuque","No registra","Aceite de oliva virgen extra - Libre de gluten","13042071"
"Aceites","Precoz","No registra","Aceite comestible mezcla (soja-girasol) libre de gluten","02-553555"
"Aceites","PrOliva","No registra","Aceite de oliva extra virgen - Libre de gluten","12003930"
"Aceites","PrOliva","No registra","Aceite de oliva - Libre de gluten","12005262"
"Aceites","PrOliva","No registra","Aceite de oliva extra virgen - Edición especial - Libre de gluten","12005420"
"Aceites","PrOliva","No registra","Aceite de oliva extra virgen- Manzanilla fina - Libre de gluten","12005427"
"Aceites","PrOliva","No registra","Aceite de oliva virgen - Libre de gluten","12006437"
"Aceites","Sojola","No registra","Aceite de soja - Libre de gluten","4060320"
"Aceites","Solazteca","No registra","Aceite de sésamo primera presión en frío. Libre de gluten","02-518928"
"Aceites","Sturla","No registra","Aceite de sésamo libre de gluten","02-560660"
"Aceites","Suter","No registra","Aceite de oliva virgen extra - Libre de gluten","13042743"
"Aceites","Tapiz","Arauco","Aceite de oliva virgen extra - Libre de gluten","13042151"
"Aceites","Tapiz","Blend","Aceite de oliva virgen extra - Libre de gluten","13037917"
"Aceites","Valderey","No registra","Aceite de girasol libre de gluten","21-028284"
"Aceites","Vanoli","No registra","Aceite de oliva virgen extra libre de gluten","4058795"
"Aceites","Vanoli","No registra","Aceite de oliva virgen libre de gluten","4058846"
"Aceites","Vita In Olio","No registra","Aceite de oliva virgen extra - Libre de gluten","13043940"
"Aceites","Zuelo","Clásico","Aceite de oliva virgen extra - Libre de gluten","13042710"
"Aceites","Zuelo","Intenso","Aceite de oliva virgen extra - Libre de gluten","13042709"
"Aceites","Zuelo","Suave","Aceite de oliva virgen extra - Libre de gluten","13042711"
"Barritas de cereal","Cachafaz","No registra","Barrita de arroz integral con cobertura de chocolate blanco, libre de gluten","02-586119"
"Barritas de cereal","Cachafaz","No registra","Barrita de arroz integral con cobertura de chocolate negro, libre de gluten","02-586121"
"Barritas de cereal","Celiclub","Barra de cereal","Barra de cereal con baño de repostería de fantasía","13042454"
"Barritas de cereal","Charinut","No registra","Barra de cereal con semillas de quínoa, lino y amaranto, con arándanos y yogurt - Libre de gluten","02-580567"
"Barritas de cereal","Charinut","No registra","Barra de cereal con semillas de quínoa, lino y amaranto, con frutillas y yogurt - Libre de gluten","02-581800"
"Barritas de cereal","Charinut","No registra","Barrita de cereal dietética con semillas de amaranto, quínoa y lino, con pepitas de chocolate. Sin azúcar agregada. Libre de gluten","21-100985"
"Barritas de cereal","Divinizan - Divinizan Bar","No registra","Alimento a base de cereales, almendras y maní - Libre de gluten","02-586946"
"Barritas de cereal","Dr. Deli","No registra","Barra de semillas y cereales a base de semillas de chía, almendras tostadas y picadas, sésamo, semillas de quínoa, crocantes de soja y amaranto expandido - Libre de gluten","02-579817"
"Barritas de cereal","Dr. Deli","No registra","Barra de semillas y cereales a base de semillas de girasol, semillas de lino, semillas de chía, quínoa inflada, crocantes de soja y pasas de uva - Libre de gluten","02-579818"
"Barritas de cereal","Dr. Deli","No registra","Barra de semillas y cereales a base de semillas de zapallo, copos de maíz, maní tostado, semillas de girasol, lino, sésamo integral, quínoa inflada y crocantes de soja - Libre de gluten","02-579822"
"Barritas de cereal","Herbalife","Barra de proteínas","Barra dietética a base de proteínas de leche y soja, con cacao y baño de repostería. Libre de gluten","270028"
"Barritas de cereal","Lulemuu","No registra","Barra de arroz integral cubierta con baño de repostería sabor dulce de leche y semillas de chía, amaranto y sésamo - Libre de gluten","02-587851"
"Barritas de cereal","Marengo","No registra","Barra de cereal con durazno y semillas, fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías libre de gluten","21-106507"
"Barritas de cereal","Marengo","No registra","Barra de cereal con manzana y semillas , fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-106508"
"Barritas de cereal","Marengo","No registra","Barra de cereal con frutilla y semillas, fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías libre de gluten","21-106509"
"Barritas de cereal","Marengo","No registra","Barra de cereal con ciruelas, pasas de uva y semillas, fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-107376"
"Barritas de cereal","Molino Nicoli","Multigrain bars with chocolate drops","Barra a base de cereales con trocitos de chocolate. Libre de gluten","710036"
"Barritas de cereal","Molino Nicoli","Multigrain bars with red fruits","Barra a base de cereales con trocitos a base de arándano, fortificada con vitaminas. Libre de gluten","710037"
"Barritas de cereal","Molino Nicoli","Cioko Rice Bars","Barra a base de cereales con baño de repostería blanco. Libre de gluten","710039"
"Barritas de cereal","Montagne Frutas Secas - Barra de cereal","No registra","Alimento a base de cereales y frutas secas con baño de repostería semiamargo, libre de gluten","02-587358"
"Barritas de cereal","Montagne Frutas Tropicales - Barra de cereal","No registra","Alimento a base de cereales y frutas tropicales con baño de repostería semiamargo, libre de gluten","02-587357"
"Barritas de cereal","Montagne Naranja Light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería amargo sabor naranja, sin azúcar agregado, libre de gluten","02-587359"
"Barritas de cereal","Montagne Selva Negra Light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería amargo sabor selva negra, sin azúcar agregado, libre de gluten","02-587356"
"Barritas de cereal","Nani","No registra","Barra de cereal con durazno y semillas, fortificadas con vitaminas del grupo B, zinc y vitamina A, reducida en calorías libre de gluten","21-104919"
"Barritas de cereal","Nani","No registra","Barra de cereal con manzana y semillas , fortificadas con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-104936"
"Barritas de cereal","Nani","No registra","Barra de cereal con ciruelas, pasas de uva y semillas, fortificadas con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-104940"
"Barritas de cereal","Nani","No registra","Barra de cereal con frutilla y semillas, fortificadas con vitaminas del grupo B, zinc y vitamina A, reducida en calorías libre de gluten","21-104944"
"Barritas de cereal","Nani","No registra","Barra de cereal con frutos secos y semillas, fortificada con vitaminas del grupo B, zinc y vitamina A, libre de gluten","21-107375"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa, almendras y semillas de sésamo. Libre de gluten","4051636"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa y ciruelas. Libre de gluten","4051637"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa y frutillas, con base de baño de repostería fantasía con yogur. Libre de gluten","4051734"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa y frutillas. Libre de gluten","4055303"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa, almendras y semillas de sésamo. Libre de gluten","4055304"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa, almendras y chocolate semiamargo. Libre de gluten","4057005"
"Barritas de cereal","Naturecrops","No registra","Barra de cereales con quínoa, almendras y chocolate semiamargo. Libre de gluten","4057416"
"Barritas de cereal","No registra","No registra","Barra de cereal con semillas de quínoa, chia, lino y amaranto libre de gluten","21-094770"
"Barritas de cereal","Pleny - Granola ""coco""","No registra","Alimento a base de cereales, semillas integrales y coco - Libre de gluten","02-588529"
"Barritas de cereal","Pleny - Granola ""frutas patagónicas""","No registra","Alimento a base de cereales, semillas integrales y arándanos - Libre de gluten","02-588519"
"Barritas de cereal","Pleny - Granola ""frutas tropicales""","No registra","Alimento a base de cereales, semillas integrales, banana, papaya y ananá - Libre de gluten","02-588534"
"Barritas de cereal","Pleny - Granola chips de chocolate","No registra","Alimento a base de cereales, semillas integrales y chips de chocolate - Libre de gluten","02-588530"
"Barritas de cereal","Pleny - Granola frutas regionales","No registra","Alimento a base de cereales, semillas integrales, pasas de uva, manzana y damasco - Libre de gluten","02-588533"
"Barritas de cereal","Pleny - Mix de 4 semillas","No registra","Alimento a base de semillas de lino, girasol, sésamo y chía - Libre de gluten","02-588518"
"Barritas de cereal","Pleny - Mix de frutas ""original""","No registra","Alimento a base de frutas secas - Libre de gluten","02-588532"
"Barritas de cereal","Pleny - Mix de frutas ""patagónicas""","No registra","Alimento a base de frutas secas y arándanos- Libre de gluten","02-588517"
"Barritas de cereal","Pleny - Mix de frutas ""regionales""","No registra","Alimento a base de frutas secas, manzana y damascos - Libre de gluten","02-588593"
"Barritas de cereal","Pleny - Mix de frutas ""tropicales""","No registra","Alimento a base de frutas secas, coco, papaya y banana - Libre de gluten","02-588514"
"Barritas de cereal","Pleny - Mix de frutas secas con ""girasol""","No registra","Alimento a base de frutas secas y girasol - Libre de gluten","02-588531"
"Barritas de cereal","Pleny alfajor light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería amargo light sabor alfajor de chocolate, sin azúcar agregado, libre de gluten","02-590775"
"Barritas de cereal","Pleny frutilla light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor frutilla, sin azúcar agregado, libre de gluten","02-590773"
"Barritas de cereal","Pleny -Granola ""frutas regionales light""","No registra","Alimento a base de cereales, semillas integrales, pasas de uva, manzana y damasco, sin azúcar agregada - Libre de gluten","02-588592"
"Barritas de cereal","Pleny lemon pie light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor lemon pie, sin azúcar agregado, libre de gluten","02-590772"
"Barritas de cereal","Pleny manzana light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor manzana, sin azúcar agregado, libre de gluten","02-590774"
"Barritas de cereal","Pleny Sport sabor chocolate blanco con arándanos - Barra de cereal","No registra","Alimento a base de soja, semillas, arroz y arándanos cubierto con baño de repostería fantasía blanco - Libre de gluten","02-593491"
"Barritas de cereal","Pleny Sport sabor chocolate blanco con pasas de uva - Barra de cereal","No registra","Alimento a base soja, semillas, arroz y pasas de uva cubierto con baño de repostería fantasía blanco - Libre de gluten","02-593490"
"Barritas de cereal","Pleny Sport sabor chocolate con almendras - Barra de cereal","No registra","Alimento a base de soja, semillas, arroz y almendras cubierto con baño de repostería semiamargo - Libre de gluten","02-593487"
"Barritas de cereal","Pleny Sport sabor chocolate con banana - Barra de cereal","No registra","Alimento a base soja, semillas, arroz y banana cubierto con baño de repostería semiamargo - Libre de gluten","02-593489"
"Barritas de cereal","Schär","Cereal Bar","Barra a base de cereales con chocolate con leche. Libre de gluten","710017"
"Barritas de cereal","Seed Bars Chocolate con Baño de Chocolate - Barra de cereal","No registra","Barra de cereal sabor chocolate con baño de chocolate - Libre de gluten","02-552957"
"Barritas de cereal","Seed Bars Yogur Frutilla - Barra de cereal","No registra","Barra de cereal sabor yogur frutilla cubierto con baño de repostería fantasía blanco con yogur, libre de gluten","02-520419"
"Barritas de cereal","Seed Bars Yogurt Durazno - Barra de cereal","No registra","Barra de cereal sabor yogurt de durazno - Libre de gluten.","02-552955"
"Barritas de cereal","Seed Bars Yogurt Durazno con Crema","No registra","Alimento a base de cereales con baño de yogurt sabor durazno con crema - Libre de gluten - Barra de cereales.","02-565414"
"Barritas de cereal","Seed Bars Yogurt Frutos Rojos","No registra","Alimento a base de cereales con baño de yogurt sabor frutos rojos, libre de gluten - Barra de cereal","02-565412"
"Barritas de cereal","Seed Bars Yogurt Manzana","No registra","Alimento a base de cereales con baño de yogurt sabor manzana, libre de gluten - Barra de cereales","02-565413"
"Barritas de cereal","Seed Bars Yogurt Manzana Verde - Barra de cereal","No registra","Barra de cereal sabor yogurt de manzana verde - Libre de gluten-","02-552954"
"Barritas de cereal","Singluko","No registra","Barrita de cereal dietética sabor chocolate con trocitos de chocolate reducida en calorías. Libre de gluten","21-095418"
"Barritas de cereal","Singluko","No registra","Barrita de cereales con trozos de durazno reducida en calorías. Libre de gluten","21-108576"
"Barritas de cereal","Singluten","No registra","Barrita de cereal con chocolate libre de gluten","21-096390"
"Barritas de cereal","Singluten","No registra","Barrita de cereal con trozos de durazno libre de gluten","21-104149"
"Barritas de cereal","Starbucks Coffee Argentina S.R.L.","No registra","Alimento a base de cereales, almendras, maní y quínoa - Libre de gluten- Barra de cereales","02-590232"
"Barritas de cereal","Susana Dieta","No registra","Alimento a base de cereales, fructosa, castañas de cajú y pasas de uva libre de gluten - Granola con pasas de uva","02-575050"
"Barritas de cereal","Susana Dieta","No registra","Alimento a base de cereales, fructosa, manzana, castañas de cajú y canela - Granola con manzana y canela libre de gluten","02-575051"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol y sésamo - Libre de gluten","23039191"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol, sésamo y maní - Libre de gluten","23039192"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol, sésamo y coco - Libre de gluten","23039193"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol, sésamo y chía - Libre de gluten","23039195"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol, sésamo y lino - Libre de gluten","23039196"
"Barritas de cereal","Trébol","No registra","Barra a base de girasol, sésamo y quínoa - Libre de gluten","23039571"
"Barritas de cereal","Trini","No registra","Barra de cereal con mermelada de arándanos y semillas, sin azúcar agregada, fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-106550"
"Barritas de cereal","Trini","No registra","Barra de cereal con durazno y semillas, sin azúcar agregada, fortificada con vitaminas del grupo B, zinc y vitamina A , reducida en calorías, libre de gluten","21-106516"
"Barritas de cereal","Trini","No registra","Barra de cereal con dulce de leche y semillas, sin azúcar agregada, fortificada con vitaminas del grupo B, zinc y vitaminas A, reducidas en calorías, libre de gluten","21-106548"
"Barritas de cereal","Trini","No registra","Barra de cereal con mermelada de frutilla y semillas, sin azúcar agregada ,fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías libre de gluten","21-106549"
"Barritas de cereal","Trini","No registra","Barra de cereal con chocolate y semillas dietética, sin azúcar agregada, fortificada con vitaminas del grupo B, zinc y vitamina A, reducida en calorías, libre de gluten","21-108072"
"Barritas de cereal","Yeruti","No registra","Barrita de cereales y frutas de reducido valor calórico y carbohidratos, sabor durazno, libre de gluten","21-038202"
"Bebidas a base de leche","Día %","No registra","Bebida a base de suero de leche, leche entera y azúcar fortificado con vitamina C - Sabor frutilla - Libre de gluten","02-563262"
"Bebidas a base de leche","Gran Compra","No registra","Bebida a base de yogur parcialmente descremado endulzado fortificado con vitaminas A, D y ácido fólico, zinc, sabor vainilla libre de gluten","02-581625"
"Bebidas a base de leche","Gran Compra","No registra","Bebida a base de yogur dietético edulcorado descremado reducido en calorías sabor a vainilla. Libre de gluten - Light en calorías","02-587688"
"Bebidas a base de leche","Gran Compra Light","No registra","Bebida a base de yogur dietético edulcorado descremado reducido en calorías sabor a frutilla libre de gluten","02-586112"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de pera, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Reducido en su contenido graso y calórico, sabor pera dulce - Libre de gluten","02-572892"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, con puré de banana y sabor vainilla, homogeneizado, UAT, fortificado con hierro. Zinc, vitaminas A, D, B2, B9 y C - Libre de gluten","02-576569"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, con puré de banana y sabor vainilla, homogeneizado, ultrapasteurizado, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C - Libre de gluten","02-576570"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche parcialmente descremada baja en lactosa fortificada con calcio, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Sabor chocolate blanco con cereales. Libre de gluten","02-578442"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de naranja, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Reducido en contenido graso y calórico. Libre de gluten","02-579642"
"Bebidas a base de leche","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de naranja, homogeneizado, ultrapasteurizado, fortificado con hierro, zinc, vitaminas A, D, B2 B9 y C. Reducido en su contenido graso y calórico. Libre de gluten","02-579644"
"Bebidas a base de leche","La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, y jugo de naranja y durazno, homogeneizada, UAT, fortificado con vitaminas A, C y D, libre de gluten","02-579635"
"Bebidas a base de leche","La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, y jugo de naranja y durazno, homogeneizado, ultrapasteurizado, fortificado con vitaminas A, C y D, libre de gluten","02-579638"
"Bebidas a base de leche","La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, y jugo multifrutas (naranja, banana, mango, frutilla), homogeneizado, UAT, fortificado con vitaminas A, C y D, libre de gluten","02-579640"
"Bebidas a base de leche","La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, y jugo multifrutas (naranja, banana, mango, frutilla), homogeneizado, ultrapasteurizado, fortificado con vitaminas A, C y D, libre de gluten","02-579641"
"Bebidas a base de leche","La Serenísima","No registra","Alimento a base de leche entera reducida en lactosa, fortificada con calcio, con puré de banana y dulce de leche, homogeneizada, UAT, fortificado con calcio, hierro y vitaminas A, D, B2, B9 y C, sabor banana split. Libre de gluten","02-559325"
"Bebidas a base de leche","La Serenísima - Cabrales","No registra","Alimento dietético a base de leche parcialmente descremada, azúcar, café y cacao, homogeneizado UAT, reducido en su contenido de azúcares y reducido en su contenido calórico , libre de gluten - Capuchino light","02-566487"
"Bebidas a base de leche","La Serenísima - Crecer","No registra","Alimento a base de leche parcialmente descremada con dulce de leche homogeneizado, ultrapasteurizado, fortificada con calcio, vitaminas A, D, B2, B9 y C - Libre de gluten","02-533747"
"Bebidas a base de leche","La Serenísima - Crecer","No registra","Bebida a base de leche parcialmente descremada y dulce de leche fortificada con calcio, vitaminas A, D, B2, B9 y C, libre de gluten","02-554543"
"Bebidas a base de leche","La Serenísima - Junior","No registra","Alimento a base de leche baja en lactosa fortificado con calcio con puré de banana homogeneizado ultrapasteurizado fortificado con hierro y vitaminas A, D, B2, B9 y C - Libre de gluten","02-534000"
"Bebidas a base de leche","La Serenísima - Junior","No registra","Alimento a base de leche entera reducida en lactosa fortificada con calcio, con puré de banana y dulce de leche, homogeneizado, ultrapasteurizado, fortificado con calcio, hierro y vitaminas A, D, B2, B9 y C. Sabor banana split. Libre de gluten.","02-559460"
"Bebidas a base de leche","La Serenísima - Junior","No registra","Alimento a base de leche descremada reducida en lactosa fortificada con calcio con jugo de frutas ( frutilla, naranja, banana) homogeneizado ultrapasteurizado fortificado con hierro y vitaminas A, D, B2, B9 y C sabor tutti fruti - Libre de gluten","02-559931"
